"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"85",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","125 000 Ft/hó",NA,"Etele út, XI. kerület",NA,NA
"86",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","130 000 Ft/hó",NA,"Róbert Károly körút, XIII. kerület",NA,NA
"87",NA,NA,"110 000 Ft/hó",NA,"Visegrádi utca"," XIII. kerület","45 m² terület","1 szoba",NA
"88","Azonnal költözhető",NA,"85 000 Ft/hó",NA,"Sopron"," Belváros külső","28 m² terület","1 + 1 fél szoba",NA
"89",NA,NA,"160 000 Ft/hó",NA,"Törökugrató utca"," XI. kerület","41 m² terület","1 + 1 fél szoba","3 m² erkély"
"90","Új építésű",NA,"170 000 Ft/hó",NA,"Sobieski János utca 15"," IX. kerület","61 m² terület","2 szoba","5 m² erkély"
"91",NA,NA,"120 000 Ft/hó",NA,"Debrecen"," Tócóskert","68 m² terület","3 szoba",NA
"92",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","100 000 Ft/hó",NA,"Síp utca, Nyíregyháza",NA,NA
"93",NA,NA,"165 000 Ft/hó",NA,"Rozgonyi utca"," VIII. kerület","27 m² terület","1 + 1 fél szoba","3 m² erkély"
"94",NA,NA,"182 575 Ft/hó",NA,"Nagymező utca"," VI. kerület","73 m² terület","2 szoba","3 m² erkély"
"95",NA,NA,"100 000 Ft/hó",NA,"Szekfű Gyula utca"," IV. kerület","26 m² terület","1 szoba",NA
"96",NA,NA,"140 000 Ft/hó",NA,"Nagy Lajos király útja"," XIV. kerület","46 m² terület","2 szoba","5 m² erkély"
"97",NA,NA,"180 000 Ft/hó",NA,"Horánszky utca"," VIII. kerület","56 m² terület","2 szoba",NA
"98",NA,NA,"120 000 Ft/hó",NA,"Göncöl utca"," XIII. kerület","36 m² terület","1 + 1 fél szoba","1 m² erkély"
"99",NA,NA,"250 000 Ft/hó",NA,"Soroksári út"," IX. kerület","110 m² terület","4 szoba",NA
"100",NA,NA,"100 000 Ft/hó",NA,"Kandó Kálmán utca"," II. kerület","30 m² terület","1 szoba",NA
"101",NA,NA,"95 000 Ft/hó",NA,"Váci Mihály utca"," Szombathely","50 m² terület","2 szoba","5 m² erkély"
"102",NA,NA,"165 000 Ft/hó",NA,"Somorjai utca 23"," XII. kerület","71 m² terület","2 + 1 fél szoba","20 m² erkély"
"103",NA,NA,"180 000 Ft/hó",NA,"Budapart tér"," XI. kerület","30 m² terület","1 + 1 fél szoba","10 m² erkély"
"104",NA,NA,"105 000 Ft/hó",NA,"Tahi utca"," XIII. kerület","37 m² terület","1 szoba",NA
"105",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","100 000 Ft/hó",NA,"Gödöllői utca, XIV. kerület",NA,NA
"106",NA,NA,"150 000 Ft/hó",NA,"Szombathely"," Belváros","46 m² terület","2 szoba",NA
"107",NA,NA,"438 180 Ft/hó",NA,"Vigyázó Ferenc utca"," V. kerület","80 m² terület","3 szoba",NA
"108",NA,NA,"130 000 Ft/hó",NA,"Kassák Lajos utca"," XIII. kerület","51 m² terület","2 szoba",NA
"109",NA,NA,"85 000 Ft/hó",NA,"Gyömrői út"," X. kerület","40 m² terület","1 szoba",NA
"110",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","119 000 Ft/hó",NA,"Gutenberg tér, VIII. kerület",NA,NA
"111",NA,NA,"100 000 Ft/hó",NA,"Somogyi Béla utca"," Győr","60 m² terület","1 + 1 fél szoba",NA
"112",NA,NA,"140 000 Ft/hó",NA,"Debrecen"," Belváros","43 m² terület","2 szoba",NA
"113",NA,NA,"200 000 Ft/hó",NA,"Visegrádi utca 17."," XIII. kerület","70 m² terület","3 szoba","3 m² erkély"
"114",NA,NA,"95 000 Ft/hó",NA,"Bártfa utca"," XX. kerület","30 m² terület","1 szoba","2 m² erkély"
"115",NA,NA,"100 000 Ft/hó",NA,"Szederkényi út"," Tiszaújváros","54 m² terület","2 szoba",NA
"116","Új építésű",NA,"240 000 Ft/hó",NA,"Győr"," Belváros","77 m² terület","3 szoba","11 m² erkély"
"117","Új építésű",NA,"169 900 Ft/hó",NA,"Corvin sétány"," VIII. kerület","32 m² terület","1 szoba","5 m² erkély"
"118",NA,NA,"140 000 Ft/hó",NA,"Hattyú utca"," Vác","48 m² terület","2 szoba",NA
"119",NA,NA,"100 000 Ft/hó",NA,"Flórián tér"," III. kerület","33 m² terület","1 + 1 fél szoba",NA
"120",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","80 000 Ft/hó",NA,"Koháry István utca, Eger",NA,NA
"121",NA,NA,"130 000 Ft/hó",NA,"Mátyás utca"," IX. kerület","42 m² terület","2 szoba",NA
"122",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","110 000 Ft/hó",NA,"III. Béla király tér, Székesfehérvár",NA,NA
"123",NA,NA,"250 000 Ft/hó",NA,"Móricz Zsigmond tér 4"," Tata","76 m² terület","3 szoba","12 m² erkély"
"124",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","115 000 Ft/hó",NA,"Rókusi körút, Szeged",NA,NA
"125",NA,NA,"190 000 Ft/hó",NA,"Batthyány utca"," I. kerület","66 m² terület","3 + 1 fél szoba",NA
"126",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","180 000 Ft/hó",NA,"Mester utca 83, IX. kerület",NA,NA
"127",NA,NA,"170 000 Ft/hó",NA,"Viola utca 43"," IX. kerület","51 m² terület","2 szoba","4 m² erkély"
"128",NA,NA,"149 000 Ft/hó",NA,"Tomori köz"," XIII. kerület","70 m² terület","3 szoba","3 m² erkély"
"129",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","175 000 Ft/hó",NA,"Csömöri út, XVI. kerület",NA,NA
"130",NA,NA,"230 000 Ft/hó",NA,"Garda utca"," XI. kerület","49 m² terület","2 szoba","11 m² erkély"
"131",NA,NA,"140 000 Ft/hó",NA,"Városmajor utca"," XII. kerület","49 m² terület","2 szoba","2 m² erkély"
"132",NA,NA,"95 000 Ft/hó",NA,"Böszörményi út"," Debrecen","32 m² terület","1 szoba",NA
"133",NA,NA,"135 000 Ft/hó",NA,"Chinoin utca"," IV. kerület","46 m² terület","1 + 1 fél szoba","5 m² erkély"
"134",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","90 000 Ft/hó",NA,"Toldi Miklós utca, Pécs",NA,NA
"135",NA,NA,"130 000 Ft/hó",NA,"Köztársaság utca"," Siófok","38 m² terület","2 szoba","10 m² erkély"
"136",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","115 000 Ft/hó",NA,"Szent László út, XIII. kerület",NA,NA
"137",NA,NA,"120 000 Ft/hó",NA,"Beszédes József sétány 66"," Siófok","52 m² terület","3 szoba","25 m² erkély"
"138",NA,NA,"50 000 Ft/hó",NA,"Mikszáth Kálmán utca"," Szeged","70 m² terület","2 szoba",NA
"139",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","110 000 Ft/hó",NA,"Cseresznyés utca, Győr",NA,NA
"140",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","110 000 Ft/hó",NA,"Cserhát lakótelep, Veszprém",NA,NA
"141",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","180 000 Ft/hó",NA,"Lotz Károly utca 11, II. kerület",NA,NA
"142",NA,NA,"130 000 Ft/hó",NA,"Margó Tivadar utca"," XVIII. kerület","41 m² terület","1 + 1 fél szoba",NA
"143",NA,NA,"110 000 Ft/hó",NA,"Dózsa György út"," VI. kerület","44 m² terület","1 + 1 fél szoba",NA
"144",NA,NA,"360 000 Ft/hó",NA,"Bimbó út"," II. kerület","110 m² terület","3 szoba","24 m² erkély"
"145",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","40 000 Ft/hó",NA,"Reile Géza utca, Kecskemét",NA,NA
"146",NA,NA,"100 000 Ft/hó",NA,"Szent István út"," Győr","52 m² terület","2 szoba",NA
"147",NA,NA,"120 000 Ft/hó",NA,"Váradi utca"," III. kerület","30 m² terület","1 szoba",NA
"148",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","145 000 Ft/hó",NA,"Márton utca 37, IX. kerület",NA,NA
"149","Új építésű",NA,"400 000 Ft/hó",NA,"Rögös utca"," XIX. kerület","120 m² terület","4 szoba","400 m² erkély"
"150",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","125 000 Ft/hó",NA,"Gizella út, XIV. kerület",NA,NA
"151",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","80 000 Ft/hó",NA,"Zárda köz, Kaposvár",NA,NA
"152",NA,NA,"150 000 Ft/hó",NA,"Téglaégető utca"," XX. kerület","62 m² terület","1 + 2 fél szoba",NA
"153","Új építésű",NA,"150 000 Ft/hó",NA,"Viola utca"," IX. kerület","48 m² terület","1 + 1 fél szoba","3 m² erkély"
"154","Új építésű",NA,"220 000 Ft/hó",NA,"Pápay István utca"," IX. kerület","41 m² terület","2 szoba","3 m² erkély"
"155",NA,NA,"68 000 Ft/hó",NA,"Eperjes utca"," Nyíregyháza","34 m² terület","1 + 1 fél szoba",NA
"156",NA,NA,"100 000 Ft/hó",NA,"Liliom utca"," Nyíregyháza","58 m² terület","1 + 1 fél szoba","3 m² erkély"
"157",NA,NA,"145 000 Ft/hó",NA,"Pasarét"," II. kerület","39 m² terület","1 + 1 fél szoba","3 m² erkély"
"158",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","140 000 Ft/hó",NA,"Orion utca, XXI. kerület",NA,NA
"159",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Havanna utca, XVIII. kerület",NA,NA
"160",NA,NA,"220 000 Ft/hó",NA,"Egressy út"," XIV. kerület","75 m² terület","3 szoba",NA
"161",NA,NA,"110 000 Ft/hó",NA,"Sárberki lakótelep"," Tatabánya","49 m² terület","3 szoba","1 m² erkély"
"162","Új építésű",NA,"250 000 Ft/hó",NA,"Corvin sétány"," VIII. kerület","44 m² terület","2 szoba","11 m² erkély"
"163",NA,NA,"159 000 Ft/hó",NA,"Kőbánya - Újhegy"," X. kerület","65 m² terület","3 szoba",NA
"164","Új építésű",NA,"280 000 Ft/hó",NA,"Bíró László József körút"," XI. kerület","72 m² terület","3 szoba","8 m² erkély"
"165","Új építésű",NA,"250 000 Ft/hó",NA,"Corvin sétány"," VIII. kerület","48 m² terület","2 szoba","13 m² erkély"
"166",NA,NA,"90 000 Ft/hó",NA,"Tabán út"," Hatvan","46 m² terület","1 + 1 fél szoba",NA
"167",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","135 000 Ft/hó",NA,"Sarló utca 1, Debrecen",NA,NA
"168",NA,NA,"35 000 Ft/hó",NA,"Mancz János utca"," Székesfehérvár","10 m² terület","1 + 1 fél szoba","2 m² erkély"
"169",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Mikes Kelemen utca, Székesfehérvár",NA,NA
"170",NA,NA,"170 000 Ft/hó",NA,"Csernyus utca"," XIV. kerület","64 m² terület","3 szoba","3 m² erkély"
"171",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","140 000 Ft/hó",NA,"Szőlő utca, Gödöllő",NA,NA
"172",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","130 000 Ft/hó",NA,"Etele út 38/a, XI. kerület",NA,NA
"173",NA,NA,"110 000 Ft/hó",NA,"Kézműves utca"," XVIII. kerület","28 m² terület","1 szoba",NA
"174",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","125 000 Ft/hó",NA,"Szent Anna utca, Debrecen",NA,NA
"175",NA,NA,"165 000 Ft/hó",NA,"Apostol utca"," II. kerület","50 m² terület","2 szoba","3 m² erkély"
"176",NA,NA,"130 000 Ft/hó",NA,"Kossuth Lajos utca"," Zalaegerszeg","56 m² terület","2 szoba","6 m² erkély"
"177",NA,NA,"200 000 Ft/hó",NA,"Váci út"," XIII. kerület","39 m² terület","1 szoba",NA
"178",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","100 000 Ft/hó",NA,"Szent Miklós utca, Keszthely",NA,NA
"179",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","100 000 Ft/hó",NA,"Liszt Ferenc sétány 16, Siófok",NA,NA
"180",NA,NA,"100 000 Ft/hó",NA,"Megyeri út"," IV. kerület","36 m² terület","1 szoba",NA
"181",NA,NA,"65 000 Ft/hó",NA,"Templom utca"," Sopron","25 m² terület","1 szoba",NA
