"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"17",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","138 000 Ft/hó",NA,"Templom utca, XXI. kerület",NA,NA
"18","Új építésű",NA,NA,"875 000 Ft/hó",NA,"Törökvész"," II. kerület","149 m² terület","4 szoba",NA
"19",NA,NA,NA,"850 000 Ft/hó",NA,"Gellérthegy"," I. kerület","140 m² terület","4 szoba",NA
"20",NA,NA,NA,"350 000 Ft/hó",NA,"Mechwart tér"," II. kerület","120 m² terület","4 + 1 fél szoba",NA
"21",NA,NA,NA,"292 120 Ft/hó",NA,"Podmaniczky Frigyes tér 3"," V. kerület","87 m² terület","2 + 1 fél szoba",NA
"22",NA,NA,NA,"110 000 Ft/hó",NA,"Magyar utca"," Mosonmagyaróvár","43 m² terület","1 szoba",NA
"23","Videó elérhető",NA,NA,"270 000 Ft/hó",NA,"Székesfehérvár"," Belváros","78 m² terület","1 + 2 fél szoba",NA
"24","Régen frissült",NA,NA,"1 095 450 Ft/hó",NA,"Lendvay utca"," VI. kerület","127 m² terület","3 + 1 fél szoba","5 m² erkély"
"25",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","110 000 Ft/hó",NA,"Hársfa utca 39., VII. kerület",NA,NA
"26",NA,NA,NA,"295 000 Ft/hó",NA,"Tigris utca"," I. kerület","80 m² terület","4 szoba","6 m² erkély"
"27",NA,NA,NA,"130 000 Ft/hó",NA,"Péterfia utca"," Debrecen","34 m² terület","1 szoba",NA
"28","Régen frissült",NA,NA,"130 000 Ft/hó",NA,"Középső-Erzsébetváros"," VII. kerület","33 m² terület","1 szoba",NA
"29",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","300 000 Ft/hó",NA,"Torbágy utca 93, XI. kerület",NA,NA
"30",NA,NA,NA,"150 000 Ft/hó",NA,"Szolnok"," Belváros","50 m² terület","2 szoba",NA
"31",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","160 000 Ft/hó",NA,"Korányi Sándor utca, VIII. kerület",NA,NA
"32",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","115 000 Ft/hó",NA,"Rózsa utca, VI. kerület",NA,NA
"33",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Kenézy utca, Hajdúszoboszló",NA,NA
"34",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","130 000 Ft/hó",NA,"Róbert Károly körút, XIII. kerület",NA,NA
"35",NA,NA,NA,"180 000 Ft/hó",NA,"Kishegyesi út"," Debrecen","80 m² terület","3 szoba",NA
"36",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","150 000 Ft/hó",NA,"Nyár utca, Debrecen",NA,NA
"37",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","160 000 Ft/hó",NA,"Hajnóczy József utca, XII. kerület",NA,NA
"38",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","250 000 Ft/hó",NA,"Arany János utca, V. kerület",NA,NA
"39",NA,NA,NA,"160 000 Ft/hó",NA,"Belső-Erzsébetváros"," VII. kerület","60 m² terület","2 szoba",NA
"40",NA,NA,NA,"200 000 Ft/hó",NA,"József Attila utca"," V. kerület","40 m² terület","1 szoba",NA
"41",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","85 000 Ft/hó",NA,"4-es huszárok útja 3., Nyíregyháza",NA,NA
"42",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","150 000 Ft/hó",NA,"Baross utca 108, XVI. kerület",NA,NA
"43",NA,NA,NA,"100 000 Ft/hó",NA,"Lajosház utca"," XVII. kerület","37 m² terület","1 szoba",NA
"44",NA,NA,NA,"357 600 Ft/hó",NA,"Lipótváros"," V. kerület","70 m² terület","3 szoba",NA
"45","Csak szoba",NA,NA,"60 000 Ft/hó",NA,"Cserkész utca 8"," Székesfehérvár","14 m² terület","4 + 2 fél szoba",NA
"46",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","110 000 Ft/hó",NA,"Ördögmalom utca, XIII. kerület",NA,NA
"47",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","115 000 Ft/hó",NA,"Ótelep utca, Tatabánya",NA,NA
"48",NA,NA,NA,"200 000 Ft/hó",NA,"Gogol utca"," Szeged","58 m² terület","1 + 2 fél szoba",NA
"49",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","100 000 Ft/hó",NA,"Thököly Imre utca, Miskolc",NA,NA
"50",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Krizantém utca, XXI. kerület",NA,NA
"51",NA,NA,NA,"50 000 Ft/hó",NA,"Rigó utca"," Székesfehérvár","56 m² terület","2 szoba",NA
"52",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","70 000 Ft/hó",NA,"Sas utca, XVI. kerület",NA,NA
"53",NA,NA,NA,"130 000 Ft/hó",NA,"Üllői út"," IX. kerület","40 m² terület","1 + 1 fél szoba",NA
"54",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","160 000 Ft/hó",NA,"Szentkirályi utca 5, VIII. kerület",NA,NA
"55",NA,NA,NA,"270 000 Ft/hó",NA,"Böszörményi út"," Debrecen","86 m² terület","2 szoba",NA
"56",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","150 000 Ft/hó",NA,"Százház utca, VII. kerület",NA,NA
"57",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","280 000 Ft/hó",NA,"Damjanich utca 42, VII. kerület",NA,NA
"58","Régen frissült",NA,NA,"328 635 Ft/hó",NA,"Sopron"," Belváros","121 m² terület","3 szoba",NA
"59",NA,NA,NA,"135 000 Ft/hó",NA,"Egyetem sugárút"," Debrecen","57 m² terület","1 szoba",NA
"60",NA,NA,NA,"300 000 Ft/hó",NA,"Logodi utca"," I. kerület","75 m² terület","2 + 1 fél szoba","16 m² erkély"
"61",NA,NA,NA,"139 999 Ft/hó",NA,"Késmárk utca 1"," XV. kerület","53 m² terület","2 + 1 fél szoba",NA
"62",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","180 000 Ft/hó",NA,"Erdőalja út, III. kerület",NA,NA
"63",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","420 000 Ft/hó",NA,"Maros utca, XII. kerület",NA,NA
"64",NA,NA,NA,"130 000 Ft/hó",NA,"Szolnok"," Belváros","59 m² terület","2 szoba",NA
"65",NA,NA,NA,"250 000 Ft/hó",NA,"Krúdy utca"," VIII. kerület","94 m² terület","3 szoba",NA
"66","Új építésű",NA,NA,"529 468 Ft/hó",NA,"Felsőhatár utca"," XI. kerület","92 m² terület","4 szoba","10 m² erkély"
"67",NA,NA,NA,"657 270 Ft/hó",NA,"Németvölgy"," XII. kerület","105 m² terület","3 szoba",NA
"68",NA,NA,NA,"182 575 Ft/hó",NA,"Dózsa György út 40"," VII. kerület","60 m² terület","2 szoba",NA
"69",NA,NA,NA,"764 989 Ft/hó",NA,"Falk Miksa utca"," V. kerület","132 m² terület","3 szoba",NA
"70",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","100 000 Ft/hó",NA,"Futó utca 15-19, VIII. kerület",NA,NA
"71",NA,NA,NA,"265 000 Ft/hó",NA,"Paulay Ede utca"," VI. kerület","68 m² terület","3 szoba",NA
"72","Csak szoba",NA,NA,"55 000 Ft/hó",NA,"Pesti út"," XVII. kerület","10 m² terület","0 + 2 fél szoba","3 m² erkély"
"73",NA,NA,NA,"580 000 Ft/hó",NA,"Kossuth Lajos tér"," V. kerület","93 m² terület","3 szoba",NA
"74",NA,NA,NA,"100 000 Ft/hó",NA,"Miskolc"," Belváros","51 m² terület","2 szoba",NA
"75",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","100 000 Ft/hó",NA,"Nefelejcs utca, VII. kerület",NA,NA
"76",NA,NA,NA,"180 000 Ft/hó",NA,"Melinda út"," XII. kerület","23 m² terület","1 szoba","6 m² erkély"
"77",NA,NA,NA,"190 000 Ft/hó",NA,"Budakeszi út"," II. kerület","45 m² terület","2 szoba","9 m² erkély"
"78",NA,NA,NA,"130 000 Ft/hó",NA,"Szombathely"," Minerva-lakótelep","54 m² terület","2 szoba","4 m² erkély"
"79",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","180 000 Ft/hó",NA,"Sólyatér utca, XIII. kerület",NA,NA
"80",NA,NA,NA,"726 649 Ft/hó",NA,"Belső-Ferencváros"," IX. kerület","121 m² terület","4 szoba","4 m² erkély"
"81",NA,NA,NA,"894 618 Ft/hó",NA,"Újlipótváros"," XIII. kerület","92 m² terület","3 szoba","3 m² erkély"
"82",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","180 000 Ft/hó",NA,"Almássy tér, VII. kerület",NA,NA
"83","Új építésű",NA,NA,"120 000 Ft/hó",NA,"Bajcsy-Zsilinszky út 82."," Gyomaendrőd","80 m² terület","3 szoba",NA
"84","Új építésű",NA,NA,"90 000 Ft/hó",NA,"Bajcsy-Zsilinszky út 82."," Gyomaendrőd","45 m² terület","1 szoba",NA
"85",NA,NA,NA,"100 000 Ft/hó",NA,"Zöldfa utca"," Debrecen","30 m² terület","1 szoba",NA
"86",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","710 000 Ft/hó",NA,"Bem rakpart, I. kerület",NA,NA
"87",NA,NA,NA,"160 000 Ft/hó",NA,"Balatonalmádi"," Budatava","50 m² terület","2 szoba",NA
"88",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","100 000 Ft/hó",NA,"Nefelejcs utca, VII. kerület",NA,NA
"89","Videó elérhető",NA,NA,"750 000 Ft/hó",NA,"Vizafogó - Marinapart"," XIII. kerület","105 m² terület","3 szoba","50 m² erkély"
"90",NA,NA,NA,"292 120 Ft/hó",NA,"Lipótváros"," V. kerület","110 m² terület","3 szoba","5 m² erkély"
"91",NA,NA,NA,"160 000 Ft/hó",NA,"Törökugrató utca"," XI. kerület","41 m² terület","1 + 1 fél szoba","3 m² erkély"
"92",NA,NA,NA,"120 000 Ft/hó",NA,"Cementgyári lakótelep"," Lábatlan","34 m² terület","2 szoba",NA
"93",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","295 000 Ft/hó",NA,"Deák Ferenc utca 11, Balatonfüred",NA,NA
"94",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","250 000 Ft/hó",NA,"Csengery utca, VII. kerület",NA,NA
"95",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","170 000 Ft/hó",NA,"Pusztaszeri út 14, II. kerület",NA,NA
"96",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","200 000 Ft/hó",NA,"Irinyi János utca 24, Esztergom",NA,NA
"97",NA,NA,NA,"160 000 Ft/hó",NA,"Frangepán utca 28-32"," XIII. kerület","49 m² terület","2 szoba",NA
"98",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","99 000 Ft/hó",NA,"Jókai utca, Balassagyarmat",NA,NA
"99",NA,NA,NA,"500 000 Ft/hó",NA,"Ürömhegy"," III. kerület","107 m² terület","4 szoba","10 m² erkély"
"100",NA,NA,NA,"298 000 Ft/hó",NA,"Kmety György utca 21"," VI. kerület","94 m² terület","3 szoba","4 m² erkély"
"101",NA,NA,NA,"200 000 Ft/hó",NA,"Bláthy Ottó utca"," VIII. kerület","119 m² terület","4 szoba",NA
"102",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","130 000 Ft/hó",NA,"Zsélyi Aladár utca, XVI. kerület",NA,NA
"103",NA,NA,NA,"220 000 Ft/hó",NA,"Babits Mihály utca"," Győr","110 m² terület","4 szoba",NA
"104",NA,NA,NA,"1 095 450 Ft/hó",NA,"Külső-Terézváros"," VI. kerület","120 m² terület","4 szoba","86 m² erkély"
"105","Új építésű",NA,NA,"600 000 Ft/hó",NA,"Rákóczi utca"," Debrecen","120 m² terület","4 szoba",NA
"106",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","1 200 000 Ft/hó",NA,"Cinka Panna utca, Balatonszemes",NA,NA
"107",NA,NA,NA,"650 000 Ft/hó",NA,"Szalay utca"," V. kerület","100 m² terület","2 szoba","10 m² erkély"
"108",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","100 000 Ft/hó",NA,"Kazinczy út, Tiszaújváros",NA,NA
"109",NA,NA,NA,"110 000 Ft/hó",NA,"Károly út"," Mosonmagyaróvár","39 m² terület","1 + 1 fél szoba","6 m² erkély"
"110",NA,NA,NA,"876 360 Ft/hó",NA,"Herman Ottó út 33."," II. kerület","167 m² terület","4 szoba","16 m² erkély"
"111",NA,NA,NA,"328 635 Ft/hó",NA,"Füredi sétány"," Sopron","122 m² terület","3 szoba",NA
"112",NA,NA,NA,"130 000 Ft/hó",NA,"Szerencs utca"," XV. kerület","42 m² terület","1 szoba","5 m² erkély"
"113",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","150 000 Ft/hó",NA,"Bródy Sándor utca 36, VIII. kerület",NA,NA
"114",NA,NA,NA,"140 000 Ft/hó",NA,"Debrecen"," Belváros","46 m² terület","2 szoba","4 m² erkély"
"115",NA,NA,NA,"230 000 Ft/hó",NA,"Kis-Duna sétány"," Esztergom","58 m² terület","3 szoba",NA
"116",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","230 000 Ft/hó",NA,"Komócsy utca 23/b, XIV. kerület",NA,NA
"117","Csak szoba",NA,NA,"30 000 Ft/hó",NA,"Kereszttöltés utca 13"," Szeged","12 m² terület","1 szoba",NA
"118",NA,NA,NA,"1 825 750 Ft/hó",NA,"Alvinci út"," II. kerület","310 m² terület","4 szoba","72 m² erkély"
"119",NA,NA,NA,"310 378 Ft/hó",NA,"Lövölde tér"," VII. kerület","92 m² terület","3 szoba",NA
"120",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","100 000 Ft/hó",NA,"Új utca, Nyíregyháza",NA,NA
"121",NA,NA,NA,"140 000 Ft/hó",NA,"Dembinszky utca"," VII. kerület","51 m² terület","2 szoba",NA
"122",NA,NA,NA,"1 387 570 Ft/hó",NA,"Külső-Terézváros - Diplomatanegyed"," VI. kerület","188 m² terület","5 szoba","3 m² erkély"
"123",NA,NA,NA,"120 000 Ft/hó",NA,"Honvéd utca"," Debrecen","45 m² terület","2 szoba","4 m² erkély"
"124",NA,NA,NA,"240 000 Ft/hó",NA,"Kiszugló"," XIV. kerület","73 m² terület","3 szoba","8 m² erkély"
"125",NA,NA,NA,"65 000 Ft/hó",NA,"Üllői út"," IX. kerület","12 m² terület","1 szoba","6 m² erkély"
"126",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","100 000 Ft/hó",NA,"Gyulai Pál utca 9, VIII. kerület",NA,NA
"127",NA,NA,NA,"145 000 Ft/hó",NA,"Szent István körút"," XIII. kerület","48 m² terület","1 szoba",NA
"128",NA,NA,NA,"912 875 Ft/hó",NA,"Belső-Terézváros"," VI. kerület","95 m² terület","4 szoba","15 m² erkély"
"129",NA,NA,NA,"912 875 Ft/hó",NA,"Belső-Terézváros"," VI. kerület","120 m² terület","4 szoba",NA
"130",NA,NA,NA,"310 378 Ft/hó",NA,"Belgrád rakpart"," V. kerület","97 m² terület","3 szoba",NA
"131",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","95 000 Ft/hó",NA,"Gyepű utca, Sopron",NA,NA
"132",NA,NA,NA,"120 000 Ft/hó",NA,"Balatonkenese"," Városközpont","40 m² terület","1 szoba",NA
"133",NA,NA,NA,"159 000 Ft/hó",NA,"Szemere utca"," V. kerület","58 m² terület","2 szoba","1 m² erkély"
"134",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","80 000 Ft/hó",NA,"Bocskai utca, Nyíregyháza",NA,NA
"135",NA,NA,NA,"100 000 Ft/hó",NA,"Pacsirtamező utca"," III. kerület","33 m² terület","1 szoba",NA
"136","Csak szoba",NA,NA,"40 000 Ft/hó",NA,"Hajós utca 28"," Szeged","110 m² terület","3 + 1 fél szoba",NA
"137",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","100 000 Ft/hó",NA,"Petőfi Sándor utca, Kecskemét",NA,NA
"138",NA,NA,NA,"70 000 Ft/hó",NA,"Liget tér 2"," X. kerület","16 m² terület","1 szoba",NA
"139",NA,NA,NA,"250 000 Ft/hó",NA,"Székesfehérvár"," Belváros","99 m² terület","4 szoba","3 m² erkély"
"140",NA,NA,NA,"235 000 Ft/hó",NA,"Vitkovics Mihály utca"," V. kerület","72 m² terület","2 szoba","2 m² erkély"
"141",NA,NA,NA,"140 000 Ft/hó",NA,"Vitkovics Mihály utca"," V. kerület","28 m² terület","1 szoba",NA
"142",NA,NA,NA,"250 000 Ft/hó",NA,"Péterfy Sándor utca"," VII. kerület","85 m² terület","3 szoba",NA
"143",NA,NA,NA,"180 000 Ft/hó",NA,"Táncsics utca"," Sopron","77 m² terület","2 szoba",NA
"144",NA,NA,NA,"75 000 Ft/hó",NA,"Kék Golyó utca"," XII. kerület","20 m² terület","1 szoba","2 m² erkély"
"145",NA,NA,NA,"70 000 Ft/hó",NA,"Vörösmarty utca 23"," Lenti","65 m² terület","2 szoba","3 m² erkély"
"146",NA,NA,NA,"120 000 Ft/hó",NA,"Gólya utca"," Eger","45 m² terület","1 + 1 fél szoba","3 m² erkély"
"147",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Városmajor utca, Nyíregyháza",NA,NA
"148",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","240 000 Ft/hó",NA,"Hegedűs Gyula utca, XIII. kerület",NA,NA
"149",NA,NA,NA,"110 000 Ft/hó",NA,"Berek utca"," Debrecen","44 m² terület","2 szoba",NA
"150",NA,NA,NA,"140 000 Ft/hó",NA,"Kárpát utca"," XIII. kerület","52 m² terület","2 szoba","6 m² erkély"
"151",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","135 000 Ft/hó",NA,"Dessewffy Arisztid utca, Miskolc",NA,NA
"152",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","59 000 Ft/hó",NA,"Salgó út, Salgótarján",NA,NA
"153",NA,NA,NA,"59 000 Ft/hó",NA,"Salgó út"," Salgótarján","16 m² terület","1 szoba","1 m² erkély"
"154",NA,NA,NA,"584 240 Ft/hó",NA,"Krisztinaváros"," I. kerület","90 m² terület","3 szoba",NA
"155","Új építésű",NA,NA,"200 000 Ft/hó",NA,"Tatabánya",NA,"36 m² terület","1 szoba","7 m² erkély"
"156",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","150 000 Ft/hó",NA,"Baross utca, VIII. kerület",NA,NA
"157",NA,NA,NA,"245 000 Ft/hó",NA,"Vörösmarty utca 75"," VI. kerület","65 m² terület","3 + 1 fél szoba","7 m² erkély"
"158",NA,NA,NA,"600 000 Ft/hó",NA,"Széchenyi utca 41"," Balatonfüred","68 m² terület","3 szoba","30 m² erkély"
"159",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","450 000 Ft/hó",NA,"Dolgos utca, XII. kerület",NA,NA
"160",NA,NA,NA,"140 000 Ft/hó",NA,"Angyalföld"," XIII. kerület","48 m² terület","1 szoba","8 m² erkély"
"161",NA,NA,NA,"150 000 Ft/hó",NA,"Ipoly utca"," XIII. kerület","42 m² terület","2 szoba","3 m² erkély"
"162","Új építésű"," Virtuális séta",NA,"1 095 450 Ft/hó",NA,"Fillér utca 53."," II. kerület","103 m² terület","4 szoba","32 m² erkély"
"163",NA,NA,NA,"295 000 Ft/hó",NA,"Keleti Károly utca"," II. kerület","63 m² terület","2 szoba","2 m² erkély"
"164",NA,NA,NA,"770 000 Ft/hó",NA,"Belső-Ferencváros"," IX. kerület","113 m² terület","4 szoba",NA
"165",NA,NA,NA,"474 695 Ft/hó",NA,"Erzsébet körút 51."," VII. kerület","79 m² terület","3 szoba",NA
"166",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","130 000 Ft/hó",NA,"Attila út, I. kerület",NA,NA
"167",NA,NA,NA,"250 000 Ft/hó",NA,"Tárogató út"," II. kerület","69 m² terület","3 szoba","5 m² erkély"
"168",NA,NA,NA,"160 000 Ft/hó",NA,"Deák Ferenc tér"," V. kerület","40 m² terület","1 szoba","2 m² erkély"
"169",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","150 000 Ft/hó",NA,"Mártonhegyi út 56/b, XII. kerület",NA,NA
"170",NA,NA,NA,"270 000 Ft/hó",NA,"Telepes utca"," XIV. kerület","62 m² terület","3 szoba","4 m² erkély"
"171",NA,NA,NA,"273 863 Ft/hó",NA,"Vigyázó Ferenc utca"," V. kerület","65 m² terület","1 + 2 fél szoba",NA
"172",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","370 000 Ft/hó",NA,"Táborhegyi út 25, III. kerület",NA,NA
"173",NA,NA,NA,"540 000 Ft/hó",NA,"Jókai utca"," VI. kerület","90 m² terület","3 szoba",NA
